MAP_SYMBOL,GIS_CODE,STRAT_NAME,STRAT_UNIT_DESC
"Qe2","IH--e---02","Quaternary aeolian unit 2","Quaternary interdunal silt and sand. Based on Qs` on CURDIMURKA."
"Qe3","IH--e---03","Quaternary aeolian unit 3","Quaternary gypsiferous dunes/lunettes."
"Qe4","IH--e---04","Quaternary aeolian unit 4","Quaternary sandplain associated with basement. BARTON sheet."
"Qe5","IH--e---05","Quaternary aeolian unit 5","Quaternary red-brown sand associated with ferruginous and siliceous duricrusts. BARTON sheet."
"Qe6","IH--e---06","Quaternary aeolian unit 6","Quaternary calcareous and quartz sand, pale orange fine to medium . Based on Qs1 on TARCOOLA."
"Qe7","IH--e---07","Quaternary aeolian unit 7","Undifferentiated Quaternary, largely calcareous sand in the transitional area between the Nullarbor Plain and Great Victoria Desert: BARTON sheet."
"Qe8","IH--e---08","Quaternary aeolian unit 8","Quaternary sand, orange-brown to red-brown, calcareous and rarely gypseous in part. Based on Qs1, COOBER PEDY."
"Qe9","IH--e---09","Quaternary aeolian unit 9","Quaternary clay-pellet lunettes."
"Qeb","IH--eb","Bunyip Sand","Quartz sand, pale red-brown, carbonate. Dunes."
"Qec","IH--ec","Coonarbine Formation","Dune sand, red coated, frosted quartz grains, yellow to orange, clay pellets, gypsum flakes. Aeolian."
"Qem","IH--em","Molineaux Sand","Sand, pale yellow, fine to medium-grained quartzose."
"Qem1","IH--em--01","Molineaux Sand unit 1","Thin sand overlay as used in Qh on PINNAROO."
"Qes","IH--es","Simpson Sand","Quartz sand, dune sand, aeolian, clay pans."
"Qes1","IH--es--01","Simpson Sand unit 1","Longitudinal sand dunes. STRZELECKI sheet."
"Qes2","IH--es--02","Simpson Sand unit 2","Hummocky sand dunes. STRZELECKI sheet."
"Qet","IH--et","Tartangan beds","Sand; aeolian. Age 6020+/-150 yBP."
"Qh","H-","Holocene rocks","Undifferentiated Holocene rocks."
"Qha","H---a","Holocene alluvial/fluvial sediments","Undifferentiated Holocene alluvial/fluvial sediments."
"Qha1","H---a---01","Holocene alluvial/fluvial unit 1","Present day Holocene alluvium; current bedload."
"Qha10","H---a---10","Holocene alluvial/fluvial unit 10","Holocene high to low angle slope deposits; colluvium and alluvium, gravelly near source."
"Qha11","H---a---11","Holocene alluvial/fluvial unit 11","Sand and silt of superficial alluvial channel within sheetwash or sand plain."
"Qha2","H---a---02","Holocene alluvial/fluvial unit 2","Holocene alluvium slightly older than present day alluvium (Qha1); commonly in terraces adjacent to main channel."
"Qha3","H---a---03","Holocene alluvial/fluvial unit 3","Holocene floodplain sediments."
"Qha4","H---a---04","Holocene alluvial/fluvial unit 4","Holocene proximal alluvial fan sediments with gilgai."
"Qha5","H---a---05","Holocene alluvial/fluvial unit 5","Holocene alluvial plain sediments."
"Qha6","H---a---06","Holocene alluvial/fluvial unit 6","Holocene alluvial/aeolian brown sand; columnar structure."
"Qha7","H---a---07","Holocene alluvial/fluvial unit 7","Holocene talus/scree deposits. High angle colluvial to alluvial sediments."
"Qha8","H---a---08","Holocene alluvial/fluvial unit 8","Holocene low angle slope deposits, gibber outwash."
"Qha9","H---a---09","Holocene alluvial/fluvial unit 9","Holocene distal alluvial fan sediments with gilgai."
"Qhac","H---ac","Coonambidgal Formation","Coarse-grained, fluvial and finer grained flood plain deposits. Age 6020+/-150, 4080+/-100 BP on C14 at Chowilla."
"Qhat","H---at","Tingana Clay","Sand, grey to light olive-grey sandy clay and clayey."
"Qhaw","H---aw","Waldeila Formation","Sand, gravel and silt,  weakly consolidated, greyish brown to dark grey.  Alluvial."
"Qhc","H---c","Holocene coastal sediments","Undifferentiated Holocene coastal sediments."
"Qhck","H---ck","Saint Kilda Formation","Coastal marine sediment: calcareous, fossiliferous sand and mud of intertidal sand flats, beaches and tidal marshes; organic, gypseous clay of supratidal flats."
"Qhck1","H---ck--01","Saint Kilda Formation unit 1","Lagoonal, lacustrine sediments, shell beds. South-East geology map revision."
"Qhck10","H---ck--10","Saint Kilda Formation unit 10","Skeletal carbonate sand with seagrass fibre of subtidal Posidonia seagrass meadow."
"Qhck11","H---ck--11","Saint Kilda Formation unit 11","Sand, light grey, unconsolidated, calcareous, muddy: undifferentiated gulf floor deposits."
"Qhck12","H---ck--12","Saint Kilda Formation unit 12","Quartz and carbonate sand and mud: Back-barrier lagoon and associated estuarine and tidal channel deposits. Adelaide coastal zone DHDB."
"Qhck14","H---ck--14","Saint Kilda Formation unit 14","Coastal dune sand, calcareous and siliceous, white: Semaphore Sand Member and Gantheaume Sand Member."
"Qhck15","H---ck--15","Saint Kilda Formation unit 15","Modern beach gravel."
"Qhck16","H---ck--16","Saint Kilda Formation unit 16","Stranded shingle beach ridges; cobbles and pebbles, rounded to sub-angular."
"Qhck17","H---ck--17","Saint Kilda Formation unit 17","Beach ridges of older shoreline."
"Qhck2","H---ck--02","Saint Kilda Formation unit 2","Carbonate, algal sediments of Coorong, ephemeral lakes. South-East geology map revision."
"Qhck3","H---ck--03","Saint Kilda Formation unit 3","Lacustrine, swamp sediments; peat deposits. South-East geology map revision."
"Qhck4","H---ck--04","Saint Kilda Formation unit 4","Supratidal clay/gypsiferous dunes/lunettes."
"Qhck5","H---ck--05","Saint Kilda Formation unit 5","Supratidal sand/mud flats: gypseous clay."
"Qhck6","H---ck--06","Saint Kilda Formation unit 6","Carbonate/terrigenous mud of samphire-algal marsh."
"Qhck7","H---ck--07","Saint Kilda Formation unit 7","Organic/terrigenous mud of mangrove woodland."
"Qhck8","H---ck--08","Saint Kilda Formation unit 8","Shelly/quartz muddy sand of intertidal flats; bare or Zostera-colonised. Veneered by cobbles and gravel in western upper Spencer Gulf."
"Qhck9","H---ck--09","Saint Kilda Formation unit 9","Organic/shelly sand/mud of mangrove woodland and samphire-algal marsh."
"Qhckg","H---ckg","Gantheaume Sand Member","Unconsolidated aeolian cliff top dunes and sand spreads from reworking of Bridgewater Formation."
"Qhckh","H---ckh","Le Hunte Member","Gypsiferous lacustrine sediment of coastal saline lakes."
"Qhckl","H---ckl","Lipson Seagrass Member","Clay, silt and sand with plant fragments."
"Qhcks","H---cks","Semaphore Sand Member","Unconsolidated white bioclastic quartz-carbonate sand of modern beaches and transgressive dune fields."
"Qhe","H---e","Holocene aeolian sediments","Undifferentiated Holocene aeolian sediments."
"Qhe1","H---e---01","Holocene aeolian unit 1","Holocene creek-bordering dunes. Based on Qhs on ABMINGA."
"Qhe2","H---e---02","Holocene aeolian unit 2","Holocene sand capping dunes in dunefields."
"Qhe3","H---e---03","Holocene aeolian unit 3","Holocene sand spread."
"Qhe4","H---e---04","Holocene aeolian unit 4","Holocene gypsiferous dunes/lunettes."
"Qhe5","H---e---05","Holocene aeolian unit 5","Holocene brown sand in depressions."
"Qhe6","H---e---06","Holocene aeolian unit 6","Holocene clay/silt lunettes adjacent to lagoons. Based on Qhu on CHOWILLA."
"Qhe7","H---e---07","Holocene aeolian unit 7","Holocene variably oriented sand dunes, with appreciable drainage influence. Based on Qhs1, COOBER PEDY."
"Qhe8","H---e---08","Holocene aeolian unit 8","Holocene quartz sand dunes and spreads; locally derived from Cretaceous to Quaternary sandy rocks and alluvium."
"Qhem","H---em","Moornaba Sand","Sand, aeolian, off-white and pale yellow, quartz-rich with carbonate pipes."
"Qhen","H---en","Ngankipari Sand","Weakly consolidated calcareous aeolian sand."
"Qhi","H---i","Holocene intrusive rocks","Undifferentiated Holocene intrusive rocks."
"Qhk","H---k","Holocene karst-related sediments","Undifferentiated Holocene karst-related deposits."
"Qhl","H---l","Holocene lacustrine/playa sediments","Undifferentiated Holocene lacustrine/playa sediments."
"Qhl1","H---l---01","Holocene lacustrine/playa unit 1","Holocene playa sediments."
"Qhl2","H---l---02","Holocene lacustrine/playa unit 2","Holocene playa margin/beach sediments."
"Qhl3","H---l---03","Holocene lacustrine/playa unit 3","Holocene claypan and lagoonal sediments."
"Qhl4","H---l---04","Holocene lacustrine/playa unit 4","Holocene lacustrine sediment. KINGSCOTE 1:250 000."
"Qhl5","H---l---05","Holocene lacustrine/playa unit 5","Holocene lacustrine beach lunette. KINGSCOTE 1:250 000."
"Qhm","H---m","Holocene marine sediments","Undifferentiated Holocene marine sediments."
"Qhr","H---r","Holocene regolith/colluvial sediments","Undifferentiated Holocene colluvial/regolith sediments."
"Qhs","H---s","Holocene spring sediments","Undifferentiated Holocene mound and other spring sediments."
"Qhs1","H---s---01","Holocene spring unit 1","Holocene mound spring: limestone-cemented sediments or limestone."
"Qhs2","H---s---02","Holocene spring unit 2","Holocene mound spring: sand or mud heaps. Based on Qm on DALHOUSIE."
"Qhs3","H---s---03","Holocene spring unit 3","Holocene saline mud/sand of spring-fed marsh. Based on Qha (part) on DALHOUSIE."
"Qhs4","H---s---04","Holocene spring unit 4","Holocene calcareous sand, travertine, tufa of modern springs."
"Qhv","H---v","Holocene volcanic rocks","Undifferentiated Holocene volcanic rocks."
"Qhv1","H---v---01","Holocene volcanic unit 1","Holocene basalt lava."
"Qhv2","H---v---02","Holocene volcanic unit 2","Holocene basaltic pyroclastics."
"Qi","IH--i","Quaternary intrusive rocks","Undifferentiated Quaternary intrusive rocks."
"Qk","IH--k","Quaternary karst-related deposits","Undifferentiated Quaternary karst-related deposits."
"Ql","IH--l","Quaternary lacustrine/playa sediments","Undifferentiated Quaternary lacustrine/playa sediments."
"Ql1","IH--l---01","Quaternary lacustrine/playa unit 1","Quaternary playa sediments."
"Ql2","IH--l---02","Quaternary lacustrine/playa unit 2","Quaternary gypseous or samphire flat adjacent to playa. BURRA: interim unit for compilation."
"Ql3","IH--l---03","Quaternary lacustrine/playa unit 3","Playa shore and terrace deposits: clay, silt, sand and minor gravel, saline and/or gypsiferous.  Unvegetated."
"Ql4","IH--l---04","Quaternary lacustrine/playa unit 4","Playa marshland deposits: clay, silt and sand; saline and/or gypsiferous.  Vegetated by tussocky grasses, club rushes, saltbush, samphire and succulent creepers."
"Qly","IH--ly","Yamba Formation","Clay, lacustrine, gypsiferous; gypsum-quartz sand . Dunes, playa lakes."
"Qm","IH--m","Quaternary marine sediments","Undifferentiated Quaternary marine sediments."
"Qp","I-","Pleistocene rocks","Undifferentiated Pleistocene rocks."
"Qp\ca","I-----ca","Pleistocene calcrete","Undifferentiated Pleistocene calcrete."
"Qp\fe","I-----fe","Pleistocene ferricrete","Undifferentiated Pleistocene ferricrete/ferruginous rocks."
"Qp\gy","I-----gy","Pleistocene gypcrete","Undifferentiated Pleistocene gypcrete."
"Qp\gy1","I-----gy01","Pleistocene gypcrete unit 1","Pleistocene high-level gypcrete: WARRINA sheet."
"Qp\gy2","I-----gy02","Pleistocene gypcrete unit 2","Pleistocene low-level gypcrete: WARRINA sheet."
"Qp\hp","I-----hp","Pleistocene hardpan","Undifferentiated Pleistocene hardpan: BARTON sheet."
"Qpa","I---a","Pleistocene alluvial/fluvial sediments","Undifferentiated Pleistocene alluvial/fluvial sediments."
"Qpa1","I---a---01","Pleistocene alluvial/fluvial unit 1","Pleistocene fluvial sediments: red-brown clayey sand of terrace deposits. Example: Qc1 on CHOWILLA."
"Qpa10","I---a---10","Pleistocene alluvial/fluvial unit 10","Pleistocene red-brown silty sand and sandy silt. Transitional between alluvial Pooraka Formation and aeolian Woorinen Formation. Based on Qp, OLARY."
"Qpa11","I---a---11","Pleistocene alluvial/fluvial unit 11","Undifferentiated Pleistocene Ochre Cove and Seaford Formations."
"Qpa12","I---a---12","Pleistocene alluvial/fluvial unit 12","Pleistocene sand and gravel of low angle alluvial fans."
"Qpa13","I---a---13","Pleistocene alluvial/fluvial unit 13","Pleistocene yellow, grey, brown fluvial sand, clay; mostly younger than Katipiri Formation but map unit may include Katipiri and older fluvial sediments. Based on Qps, KOPPERAMANNA."
"Qpa14","I---a---14","Pleistocene alluvial/fluvial unit 14","Gravel, colluvial to proximal channel origin, gypcreted. Gibber-covered when mapped as overlying other units. Based on Qpg, CURDIMURKA."
"Qpa15","I---a---15","Pleistocene alluvial/fluvial unit 15","Pleistocene sand and gravel of high angle alluvial fans."
"Qpa2","I---a---02","Pleistocene alluvial/fluvial unit 2","Pleistocene gypcreted/carbonate-cemented gravel. Based on Qpt on WARRINA, CURDIMURKA."
"Qpa3","I---a---03","Pleistocene alluvial/fluvial unit 3","Pleistocene high-level alluvial fan gravel. Based on Qpa1 on preliminary WARRINA."
"Qpa4","I---a---04","Pleistocene alluvial/fluvial unit 4","Pleistocene low-level alluvial fan gravel. Based on Qpa2 on preliminary WARRINA."
"Qpa5","I---a---05","Pleistocene alluvial/fluvial unit 5","Pleistocene fluvial/talus orange-brown sand with pebbly and gravelly lenses: BARTON sheet."
"Qpa7","I---a---07","Pleistocene alluvial/fluvial unit 7","Pleistocene floodplain deposits: clay, sand, silt, gravel. Based on Qpf, ABMINGA, COOBER PEDY."
"Qpa8","I---a---08","Pleistocene alluvial/fluvial unit 8","Pleistocene alluvial/aeolian clayey-silty sand and gravel with some gilgai. Based on Qps2, COOBER PEDY, TALLARINGA."
"Qpa9","I---a---09","Pleistocene alluvial/fluvial unit 9","Pleistocene red-brown sand, clayey in part, with buckshot gravel spreads and widely-spaced gilgai. Some aeolian influence. Based on Qps3, COOBER PEDY."
"Qpaa","I---aa","Alinerta Gravel","Gravel; sandstone, silty. All very poorly sorted, gypsiferous in part. Debris flow, slump masses and sheet wash deposits."
"Qpaa1","I---aa--01","Alinerta Gravel unit 1","Gravel, gypcreted/calcreted, polymict, high-level dissected surface; small remnants of a sub-planar, near-horizontal surface. Based on Qpt1 on DALHOUSIE."
"Qpaa2","I---aa--02","Alinerta Gravel unit 2","Gravel, gypcreted/calcreted polymict, high-level dissected surface; undulating surface, more extensive and lower than Qpaa1. Based on Qpt2 on DALHOUSIE."
"Qpaa3","I---aa--03","Alinerta Gravel unit 3","Gypcreted gravel of youngest dissected surface; Based on Qpt3 on DALHOUSIE."
"Qpaa4","I---aa--04","Alinerta Gravel unit 4","Gravel, cross-bedded channel deposit, with clasts of Dalhousie Formation. Based on Qpt3b on DALHOUSIE."
"Qpaa5","I---aa--05","Alinerta Gravel unit 5","Red-brown sand, silt, clay and channel gravel with weak carbonate palaeosol. Based on Qpt3a on DALHOUSIE."
"Qpab","I---ab","Christies Beach Formation","Gravel and clays, calcareous, brown and reddish brown, lenses of sand. Alluvial."
"Qpac","I---ac","Carisbrooke Sand","Sand, multicoloured, unfossiliferous, clayey. Pebbly at base."
"Qpae","I---ae","Eurinilla Formation","Sand and gravel, alluvial, lacustrine, lacustrine shoreline, red-brown to yellow-brown."
"Qpae1","I---ae--01","Eurinilla Formation unit 1","Coarse channel deposits at base. Based on conglomerate-patterned unit in Qpe on CURNAMONA."
"Qpae2","I---ae--02","Eurinilla Formation unit 2","Aeolian quartz and clay-pellet sand facies. Based on Qpe with grey dots on CURNAMONA."
"Qpaf","I---af","Seaford Formation","Gravel, well bedded; clay, sandy, interbedded alunite; grit. Commonly grey or yellow, occasionally red or purple."
"Qpag","I---ag","Taringa Formation","Clay, alluvial and calcareous, grey to yellowish-grey, minor lenses of gravel, sand and marl.  Alluvial fan."
"Qpah","I---ah","Hindmarsh Clay","Consolidated mottled clay and sandy clay with sand and gravel lenses, aeolian sand, gypseous and pelletal clay dunes and calcareous palaeosols. Alluvial and colluvial red-brown sandy clay with sand and gravel beds."
"Qpai","I---ai","Arrowie Formation","Gravel, sub-angular, lime-coated, in red-brown clay (possibly includes gravels of other ages)."
"Qpaj","I---aj","Kurrajong Formation","Gravel, fanglomerate, sandstone, clay, ferruginous to grey.  Commonly cemented with silica and lateritized in the upper part.  Alluvial fan."
"Qpak","I---ak","Katipiri Formation","Sand, white to yellow and orange, fine-grained. Fluvial channel deposits, lacustrine shoreline deposits."
"Qpam","I---am","Pirramimma Sandstone","Sand, yellow-buff, fine-grained, weakly cemented, homogenous,."
"Qpan","I---an","Ngaltinga Formation","Clay,."
"Qpann","I---ann","Neva Clay Member","Clay."
"Qpans","I---ans","Snapper Point Sand Member","Sand."
"Qpao","I---ao","Oolgelima Gravel","Gravel, red-brown to brown, matrix to frame supported."
"Qpap","I---ap","Pooraka Formation","Clay, sand and carbonate earth, silty, with gravel lenses."
"Qpap1","I---ap--01","Pooraka Formation unit 1","Proximal facies: angular cobbles and pebbles in red-brown clay and sand. Based on dashed unit in Qpp on COPLEY."
"Qpap2","I---ap--02","Pooraka Formation unit 2","Silty sand, orange-brown, to pebbly-bouldery sediment; flood plain sediments on terraces flanking the Torrens River and other channels; coalescing to west into a broad, westerly-dipping coastal plain; Adelaide area."
"Qpap3","I---ap--03","Pooraka Formation unit 3","Silty clay, red-brown, some pebbles and pedogenic carbonate. Alluvial fan sediments; coalescing fans on piedmont slope below Eden-Burnside Fault; Adelaide area."
"Qpap4","I---ap--04","Pooraka Formation unit 4","Distal alluvial fan sediments; bounded by low scarp (1.0m) above Brown Hill Creek Flood Plain and by steepening slopes of piedmont fan to east."
"Qpap5","I---ap--05","Pooraka Formation unit 5","Fluvial clays and sands adjacent to Para Fault escarpment."
"Qpaq","I---aq","Ochre Cove Formation","Sandstone and clayey sand, ferruginous, with lenses of angular gravel and grit;   gravel and conglomerate beds, poorly sorted.  Alluvial."
"Qpar","I---ar","Rufus Formation","Reddened, pedogenic carbonate. Palaeosol."
"Qpas","I---as","Keswick Clay","Clay, smectite-rich, grey-green, with red or yellow mottling and rare sand lenses."
"Qpat","I---at","Telford Gravel","Polymict gravel, well rounded, includes boulders. Alluvial fan deposits."
"Qpau","I---au","Kutjitara Formation","Fluvial channel, playa-lacustrine."
"Qpav","I---av","Avondale Clay","Clay, grey; sandy clay, with vertical mottling."
"Qpaw","I---aw","Woodgate Gravel","Gravel, sand, light red-brown to brick red, pebbles of silcrete, porcellanite and chalcedony, local crude bedding and low angle current bedding,."
"Qpc","I---c","Pleistocene coastal sediments","Undifferentiated Pleistocene coastal sediments."
"Qpc1","I---c---01","Pleistocene coastal unit 1","Dolomite, algal, lagoonal."
"Qpcb","I---cb","Bridgewater Formation","Coastal barrier and shallow sub-tidal sediments: bioclastic and aeolian cross-bedded calcarenite, palaeosol horizons, often capped by calcrete."
"Qpcb1","I---cb--01","Bridgewater Formation unit 1","Lacustrine fossiliferous white limestone. Based on Qpl on KIMBA, ELLISTON."
"Qpcb2","I---cb--02","Bridgewater Formation unit 2","Lower Member. Based on Qpbl on STREAKY BAY."
"Qpcb3","I---cb--03","Bridgewater Formation unit 3","Upper Member. Based on Qpbu on STREAKY BAY."
"Qpcb4","I---cb--04","Bridgewater Formation unit 4","Lowest member; KINGSCOTE 1:250 000."
"Qpcb5","I---cb--05","Bridgewater Formation unit 5","Second lowest member; KINGSCOTE 1:250 000."
"Qpcb6","I---cb--06","Bridgewater Formation unit 6","Second-highest member; KINGSCOTE 1:250 000."
"Qpcb7","I---cb--07","Bridgewater Formation unit 7","Uppermost member; KINGSCOTE 1:250 000."
"Qpcb8","I---cb--08","Bridgewater Formation unit 8","Young subunit with prominent beach ridges still present. As used on NARACOORTE."
"Qpce","I---ce","Point Ellen Formation","Calcarenite and shelly sandstone, fossiliferous, laminate. Rb/Sr isotopic age 1.2 Ma."
"Qpcf","I---cf","False Bay Formation","Beach sand, sandy clay, calcareous. Estuarine and lagoonal clay; sabkha carbonate mud."
"Qpcg","I---cg","Glanville Formation","Clay, mottled, shelly; calcarenite, skeletal, coquina. Geochron age  132 000+/-6 000 years Bp on TL."
"Qpcg1","I---cg--01","Glanville Formation unit 1","Permeable decalcified sandy sediments: sandy shoreface facies. Adelaide coastal zone DHDB."
"Qpcg2","I---cg--02","Glanville Formation unit 2","Sand, variably cemented, bioclastic with prominent intertidal shelly fauna: intertidal flat facies. Adelaide coastal zone DHDB."
"Qpcl","I---cl","Lowly Point Formation","Clay, laminated, calcareous; thin quartz sand interbeds."
"Qpcm","I---cm","Mambray Formation","Age 110 000=19 000/-17 000 years BP."
"Qpcp","I---cp","Padthaway Formation","Mudstone, calcitic and dolomitic, white; clay, greenish; quartz sand, clayey. Lacustrine. Fresh-water fossils."
"Qpe","I---e","Pleistocene aeolian sediments","Undifferentiated Pleistocene aeolian sediments."
"Qpe1","I---e---01","Pleistocene aeolian unit 1","Pleistocene dune core sand."
"Qpe10","I---e---10","Pleistocene aeolian unit 10","Pleistocene sand, orange to red-brown, small calcrete lumps. Based on Qlo, COOBER PEDY."
"Qpe11","I---e---11","Pleistocene aeolian unit 11","Pleistocene sand, pale orange, red-brown pink, white calcareous. Based on Qpo, COOBER PEDY."
"Qpe12","I---e---12","Pleistocene aeolian unit 12","Pleistocene aeolian/alluvial calcareous silt, sand and gravel, partly cemented and calcreted. Based on Qpa, Mann 1-mile."
"Qpe13","I---e---13","Pleistocene aeolian unit 13","Pleistocene source-bordering dunes."
"Qpe14","I---e---14","Pleistocene aeolian unit 14","Pleistocene longitudinal dunes extending in downwind direction from Qpe13 (source-bordering dunes)."
"Qpe2","I---e---02","Pleistocene aeolian unit 2","Pleistocene interdune sand."
"Qpe3","I---e---03","Pleistocene aeolian unit 3","Pleistocene leeside mound dunes. Based on Qps on CURDIMURKA."
"Qpe4","I---e---04","Pleistocene aeolian unit 4","Pleistocene coastal plain dune sand."
"Qpe5","I---e---05","Pleistocene aeolian unit 5","Pleistocene calcreted calcareous silty sand on Nullarbor Plain. BARTON sheet."
"Qpe6","I---e---06","Pleistocene aeolian unit 6","Pleistocene gypsiferous and quartz sand in lunettes. BARTON sheet."
"Qpe7","I---e---07","Pleistocene aeolian unit 7","Pleistocene calcareous clayey, silty sand veneer on karst-weathered Nullarbor Plain; BARTON sheet."
"Qpe8","I---e---08","Pleistocene aeolian unit 8","Pleistocene pale sand, calcareous in part. Based on Qps0, TALLARINGA."
"Qpe9","I---e---09","Pleistocene aeolian unit 9","Pleistocene red-brown sand associated with ferruginous and siliceous duricrusts; buckshot ironstone gravel. Alluvial influence. Based on Qps1, COOBER PEDY, TALLARINGA."
"Qped","I---ed","Delisser Formation","Sand, brick red, weakly indurated."
"Qpef","I---ef","Fulham Sand","Sand, yellow-red, ferruginous, aeolian."
"Qpei","I---ei","Wintrena Formation","Sand, brown and orange-brown sand, Dunes, aeolian."
"Qpek","I---ek","Kilburn Sand","Sand, fine, well sorted, brown to dark red, quartz to clayey, loose to compact, non-calcareous."
"Qpeo","I---eo","Woorinen Formation","Sand, pale reddish-brown silty and clayey quartz, pedogenic carbonate. Aeolian."
"Qpew","I---ew","Wiabuna Formation","Silt to fine-grained sand, orange-brown, calcareous, conglomeratic in part. Aeolian."
"Qpi","I---i","Pleistocene intrusive rocks","Undifferentiated Pleistocene intrusive rocks."
"Qpk","I---k","Pleistocene karst-related sediments","Undifferentiated Pleistocene karst-related sediments."
"Qpl","I---l","Pleistocene lacustrine/playa sediments","Undifferentiated Pleistocene lacustrine/playa sediments: fossiliferous clay, sandy clay and minor limestone."
"Qpl1","I---l---01","Pleistocene lacustrine/playa sediments unit 1","Pleistocene playa sediments."
"Qpl2","I---l---02","Pleistocene lacustrine/playa sediments unit 2","Pleistocene playa margin/beach sediments: fine to coarse fossiliferous sand and gravel."
"Qpl3","I---l---03","Pleistocene lacustrine/playa sediments unit 3","Pleistocene laminated lacustrine brown, grey, greenish clay. BURRA: interim unit for compilation."
"Qpl4","I---l---04","Pleistocene lacustrine/playa sediments unit 4","Pleistocene lacustrine sediment. KINGSCOTE 1:250 000."
"Qpl5","I---l---05","Pleistocene lacustrine/playa sediments unit 5","Pleistocene lacustrine beach lunette. KINGSCOTE 1:250 000."
"Qpl6","I---l---06","Pleistocene lacustrine/playa sediments unit 6","Quaternary limestone, pale, fine grained, cavernous, horizontal stratification, occasionally sandy or with molluscs. BURRA: interim unit for compilation."
"Qpl7","I---l---07","Pleistocene lacustrine/playa sediments unit 7","Bog-iron (paleo-swamp deposit): sand, well sorted, fine- to medium-grained, cemented by massive black Fe oxides +/- Mn oxides."
"Qplb","I---lb","Bungunnia Limestone","Limestone and dolomite, thin-bedded, micritic. Lacustrine."
"Qplc","I---lc","Coomb Spring Formation","Sand, white to yellow, coarse-grained, well sorted. Lacustrine, beach ridges."
"Qplc1","I---lc--01","Coomb Spring Formation unit 1","Silty sand, basal bright red-brown poorly sorted, with gypsum crystal rosettes. Based on Czcs without dots on CURNAMONA."
"Qplc2","I---lc--02","Coomb Spring Formation unit 2","Fine grained, green, fossiliferous thin/cross bedded sand, thin clay lenses. Based on Qp5, FROME."
"Qplc3","I---lc--03","Coomb Spring Formation unit 3","Gravels of older beach deposits flanking Lakes Callabonna and Frome. Based on Qp3, FROME."
"Qplm","I---lm","Millyera Formation","Clay, greenish; thin algal limestone; fine-grained white to greenish sand. Lacustrine to floodplain. Age ~145 000 to 60 000-30 000 years BP."
"Qpln","I---ln","Nilpena Limestone","Limestone, gastropods, non-marine."
"Qplr","I---lr","Rockleigh Formation","Sand, fine-grained, silty, carbonaceous, fossiliferous."
"Qpm","I---m","Pleistocene marine sediments","Undifferentiated Pleistocene marine sediments."
"Qpmc","I---mc","Coomandook Formation","Limestone, sandstone and clay, fossiliferous; beach deposits, shelly and gravelly."
"Qpmr","I---mr","Roe Calcarenite","Calcarenite."
"Qpr","I---r","Pleistocene regolith/colluvial sediments","Undifferentiated Pleistocene colluvial/regolith sediments."
"Qpr1","I---r---01","Pleistocene regolith/colluvial unit 1","Pleistocene calcreted colluvium."
"Qpr10","I---r---10","Pleistocene regolith/colluvial unit 10","Sand plain; clay, silt, sand and minor gravel; dominantly vegetated by a variety of bushes and trees; nodular/tabular calcrete horizon commonly present in subsurface."
"Qpr11","I---r---11","Pleistocene regolith/colluvial unit 11","Sand-dominated sand plain; silt, sand and minor gravel; dominantly vegetated by a variety of trees; nodular/tabular calcrete horizon commonly present in subsurface."
"Qpr12","I---r---12","Pleistocene regolith/colluvial unit 12","Sand plain; clay, silt, sand and minor gravel; dominantly mixed vegetation; nodular/tabular calcrete horizon commonly present in subsurface."
"Qpr2","I---r---02","Pleistocene regolith/colluvial unit 2","Pleistocene red-brown structured clay with gibber mantle."
"Qpr3","I---r---03","Pleistocene regolith/colluvial unit 3","Pleistocene red-brown clayey sand with hardpan."
"Qpr4","I---r---04","Pleistocene regolith/colluvial unit 4","Pleistocene gravel, clay, silt and sand with soft carbonate, overlying nodular/tabular calcrete."
"Qpr5","I---r---05","Pleistocene regolith/colluvial unit 5","Pleistocene red sand with maghemite gravel veneer, typically mulga-covered."
"Qpr6","I---r---06","Pleistocene regolith/colluvial unit 6","Pleistocene ironstone gravel spreads on alluvium and colluvium. Based on blue dot overprint within Qa on CURDIMURKA, Q2 on KINGOONYA."
"Qpr7","I---r---07","Pleistocene regolith/colluvial unit 7","Pleistocene breccia, gypcreted colluvial-alluvial silty; gravel with bleached Cretaceous clasts. Based on Qpy, COOBER PEDY."
"Qpr8","I---r---08","Pleistocene regolith/colluvial unit 8","Pleistocene red, silty breccia and gravel, weakly gypcreted or calcreted. Based on Qpx, COOBER PEDY."
"Qpr9","I---r---09","Pleistocene regolith/colluvial unit 9","Clay-rich sand plain: clay-rich silt, sand and minor gravel with surficial algal mats; dominantly vegetated by salt- or bluebush; nodular/tabular calcrete horizon commonly present in subsurface."
"Qpra","I---ra","Callabonna Clay","Clay, red-brown, sandy, clayey sand,."
"Qprb","I---rb","Benitos Clay","Clay, red-brown to brown, silty."
"Qprc","I---rc","Coomunga Formation","Soil, yellow-brown clay and sandy clay."
"Qprg","I---rg","Giddinna Formation","Clay and silt, red, gravelly and sandy in part, moderately indurated."
"Qprg1","I---rg--01","Giddinna Formation unit 1","Sandy facies associated with Mesozoic sandstone. Based on Qpgi on COOBER PEDY."
"Qprp","I---rp","Pedirka Formation","Clay, red-brown, structured sandy, overlain by a thick mantle of silcrete clasts."
"Qps","I---s","Pleistocene spring sediments","Undifferentiated Pleistocene mound and other spring sediments."
